city,state_code,state_name,dist_code,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,total_graduates,male_graduates,female_graduates
Uttarpara Kotrung ,19,WEST BENGAL,12,162386,82815,79571,137869,71976,65893,961,91.16,93.48,88.75,35773,20981,14792
Vadodara ,24,GUJARAT,19,1666703,866701,800002,1394952,747280,647672,923,92.37,95.51,88.99,279959,153236,126723
Valsad ,24,GUJARAT,24,114987,58958,56029,97687,51447,46240,950,92.7,95.56,89.72,18980,10382,8598
Varanasi ,9,UTTAR PRADESH,66,1201815,636860,564955,859379,477807,381572,887,80.12,84.11,75.63,172622,101440,71182
Vasai Virar City ,27,MAHARASHTRA,21,1221233,649535,571698,987916,548138,439778,880,91.15,94.86,86.9,129954,70016,59938
Vellore ,33,TAMIL NADU,4,185895,91464,94431,145192,75321,69871,1032,86.67,91.68,81.84,15592,8912,6680
Veraval ,24,GUJARAT,12,153696,78161,75535,106540,59874,46666,966,78,86.58,69.21,10089,6246,3843
Vidisha ,23,MADHYA PRADESH,26,155959,81424,74535,118678,65802,52876,915,86.88,92.29,80.98,22023,13177,8846
Vijayawada ,28,ANDHRA PRADESH,16,1048240,524918,523322,789038,411677,377361,997,82.59,86.24,78.94,135425,81146,54279
Visakhapatnam,28,ANDHRA PRADESH,13,1730320,875199,855121,1298896,698959,599937,977,82.66,88.02,77.18,250549,148824,101725
Vizianagaram ,28,ANDHRA PRADESH,12,227533,111596,115937,169461,89155,80306,1039,81.85,88.18,75.8,30656,19173,11483
Warangal ,28,ANDHRA PRADESH,9,620116,310400,309716,475247,258111,217136,998,84.16,91.54,76.79,109613,69507,40106
Wardha ,27,MAHARASHTRA,8,105543,53241,52302,90091,46752,43339,982,94.05,97.19,90.88,19363,10645,8718
Yamunanagar ,6,HARYANA,3,216628,115404,101224,166419,92164,74255,877,85.91,89.61,81.71,29803,14349,15454
Yavatmal ,27,MAHARASHTRA,14,116714,58717,57997,96980,50419,46561,988,91.81,95.45,88.17,13511,7397,6114
