city,state_code,state_name,dist_code,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,total_graduates,male_graduates,female_graduates
Rajapalayam ,33,TAMIL NADU,24,130119,64624,65495,103172,54622,48550,1013,86.25,92.18,80.43,11024,6514,4510
Rajarhat Gopalpur ,19,WEST BENGAL,11,404991,205560,199431,337188,175680,161508,970,90.91,93.34,88.4,73182,42023,31159
Rajkot ,24,GUJARAT,9,1286995,675731,611264,1026040,559369,466671,905,88.82,92.67,84.61,148048,78946,69102
Rajnandgaon ,22,CHHATTISGARH,9,163122,81873,81249,127042,68134,58908,992,87.95,94.29,81.61,19640,11324,8316
Rajpur Sonarpur ,19,WEST BENGAL,17,423806,215983,207823,357154,188374,168780,962,91.06,94.28,87.71,68707,40399,28308
Ramagundam ,28,ANDHRA PRADESH,3,229632,116920,112712,160646,89722,70924,964,75.54,83.1,67.75,27209,17266,9943
Rampur ,9,UTTAR PRADESH,5,325248,169826,155422,174508,95157,79351,915,60.74,63.4,57.83,30319,16005,14314
Ranchi ,20,JHARKHAND,19,1073440,559031,514409,841652,459317,382335,920,88.49,92.87,83.75,200849,120922,79927
Ranibennur ,29,KARNATAKA,10,106365,53933,52432,85298,43234,42064,972,89.98,90.16,89.8,9747,6122,3625
Raniganj ,19,WEST BENGAL,9,128624,67150,61474,89293,50250,39043,915,78.47,84.61,71.77,9719,6225,3494
Ratlam ,23,MADHYA PRADESH,17,264810,135007,129803,207742,111921,95821,961,87.88,93.09,82.48,36589,20861,15728
Raurkela Industrial Township ,21,ORISSA,5,210412,109823,100589,164546,90631,73915,916,86.6,91.54,81.22,22887,12544,10343
Raurkela Town ,21,ORISSA,5,273217,144949,128268,214744,119761,94983,885,87.95,92.37,82.94,38314,22541,15773
Rewa ,23,MADHYA PRADESH,13,235422,124634,110788,185291,103599,81692,889,87.74,92.91,81.95,41109,25406,15703
Rewari ,6,HARYANA,17,140864,74689,66175,110205,61933,48272,886,88.25,94.22,81.61,22539,12960,9579
Rishra ,19,WEST BENGAL,12,124585,66767,57818,100581,56155,44426,866,88.89,92.43,84.78,14585,9452,5133
Robertson Pet ,29,KARNATAKA,27,146428,72378,74050,119258,61304,57954,1023,89.6,93.23,86.05,13400,7030,6370
Rohtak ,6,HARYANA,14,373133,197754,175379,279509,155679,123830,887,84.08,88.94,78.68,65881,35890,29991
Roorkee ,5,UTTARAKHAND,13,118188,63508,54680,96674,53928,42746,861,90.7,94.33,86.49,30594,16630,13964
Rudrapur ,5,UTTARAKHAND,12,140884,74276,66608,88700,51407,37293,897,73.21,80.41,65.17,14678,8208,6470
S.A.S. Nagar ,3,PUNJAB,18,146104,76441,69663,123930,66100,57830,911,93.22,95.15,91.1,57323,30110,27213
Sagar ,23,MADHYA PRADESH,10,273357,142655,130702,217632,119068,98564,916,90.23,94.55,85.52,39717,23428,16289
Saharanpur ,9,UTTAR PRADESH,1,703345,371858,331487,479218,265417,213801,891,77.94,81.71,73.72,80749,42772,37977
Saharsa ,10,BIHAR,12,155175,82589,72586,101425,58689,42736,879,77.66,84.11,70.27,18307,13209,5098
Salem ,33,TAMIL NADU,7,831038,418337,412701,642662,341725,300937,987,84.8,89.72,79.84,93297,54325,38972
Sambalpur ,21,ORISSA,3,183383,94627,88756,141329,76545,64784,938,85.74,90.3,80.92,26095,16194,9901
